date,count
2018-09-18,68
2018-09-19,45
2018-09-20,22
2018-09-21,11
2018-09-22,2
2018-09-23,51
2018-09-24,41
2018-09-25,76
2018-09-26,29
2018-09-27,38
2018-09-28,38
2018-09-29,54
2018-09-30,40
2018-10-01,37
2018-10-02,24
2018-10-03,17
2018-10-04,107
2018-10-05,15
2018-10-06,55
2018-10-07,5
2018-10-08,46
2018-10-09,30
2018-10-10,8
